sample_id,time_min,distance_km,location_gps_list
walk,30.0,2.2,"[(55.703952, 12.596358), (55.7019501, 12.5996698)]"
walk,18.0,1.4,"[(55.715447, 12.604373), (55.711313, 12.592417)]"
walk,24.0,1.8,"[(55.7100323, 12.6095416), (55.7187731, 12.6079337)]"
walk,45.0,3.3,"[(55.7119485, 12.5983555), (55.6981144, 12.5977775)]"
walk,27.0,2.0,"[(55.7105449, 12.5975367), (55.7135967, 12.6114968)]"
walk,45.0,3.3,"[(55.7119485, 12.5983555), (55.6981144, 12.5977775)]"
walk,17.0,1.3,"[(55.7109262, 12.6050831), (55.711313, 12.592417)]"
walk,11.0,0.882,"[(55.7088446, 12.601899), (55.711313, 12.592417)]"
walk,35.0,2.6,"[(55.704515, 12.5939), (55.713852, 12.6059814)]"
walk,36.0,2.7,"[(55.70459, 12.599008), (55.713852, 12.6059814)]"
walk,17.0,1.3,"[(55.716338, 12.599927), (55.7106516, 12.6064528)]"
walk,27.0,2.1,"[(55.703952, 12.596358), (55.7002918, 12.5998949)]"
walk,18.0,1.3,"[(55.709165, 12.601148), (55.709062, 12.585804)]"
walk,26.0,1.9,"[(55.709295, 12.600466), (55.698412, 12.590951)]"
walk,7.0,0.5730000000000001,"[(55.715447, 12.604373), (55.7157369, 12.6113569)]"
walk,21.0,1.5,"[(55.7119485, 12.5983555), (55.7076871, 12.5876131)]"
walk,1.0,0.114,"[(55.715447, 12.604373), (55.714467, 12.6071993)]"
walk,29.0,2.2,"[(55.710059, 12.597759), (55.7157369, 12.6113569)]"
walk,42.0,3.1,"[(55.7089352, 12.5929593), (55.7124193, 12.6174369)]"
walk,16.0,1.2,"[(55.710563, 12.592885), (55.7118935, 12.600259)]"
walk,33.0,2.5,"[(55.707014, 12.602256), (55.6981144, 12.5977775)]"
walk,6.0,0.49,"[(55.7105449, 12.5975367), (55.711313, 12.592417)]"
walk,17.0,1.3,"[(55.715447, 12.604373), (55.7124193, 12.6174369)]"
walk,24.0,1.8,"[(55.710316, 12.599727), (55.7106516, 12.6064528)]"
walk,26.0,1.9,"[(55.70454, 12.592273), (55.7002918, 12.5998949)]"
walk,17.0,1.3,"[(55.710316, 12.599727), (55.709062, 12.585804)]"
walk,8.0,0.5710000000000001,"[(55.710563, 12.592885), (55.7076871, 12.5876131)]"
walk,23.0,1.8,"[(55.7123236, 12.6004495), (55.713852, 12.6059814)]"
walk,27.0,2.1,"[(55.70687, 12.596943), (55.713852, 12.6059814)]"
walk,1.0,0.001,"[(55.70454, 12.592273), (55.70454, 12.592273)]"
walk,18.0,1.4,"[(55.7123236, 12.6004495), (55.708837, 12.592303)]"
walk,13.0,0.9510000000000001,"[(55.704515, 12.5939), (55.7076871, 12.5876131)]"
walk,20.0,1.5,"[(55.70459, 12.599008), (55.711852, 12.5932)]"
walk,31.0,2.3,"[(55.7107429, 12.6059976), (55.708683, 12.584596)]"
walk,5.0,0.41000000000000003,"[(55.710563, 12.592885), (55.711313, 12.592417)]"
walk,31.0,2.3,"[(55.7078403, 12.5911685), (55.7187731, 12.6079337)]"
walk,14.0,0.987,"[(55.711597, 12.591702), (55.708683, 12.584596)]"
walk,16.0,1.2,"[(55.710316, 12.599727), (55.70454, 12.592273)]"
walk,32.0,2.4,"[(55.710563, 12.592885), (55.6981144, 12.5977775)]"
walk,34.0,2.5,"[(55.710059, 12.597759), (55.6981144, 12.5977775)]"
walk,20.0,1.4,"[(55.709295, 12.600466), (55.706358, 12.581267)]"
walk,17.0,1.3,"[(55.7131719, 12.6009926), (55.708837, 12.592303)]"
walk,18.0,1.4,"[(55.715447, 12.604373), (55.711313, 12.592417)]"
walk,39.0,2.9,"[(55.7089352, 12.5929593), (55.7019501, 12.5996698)]"
walk,27.0,2.0,"[(55.710563, 12.592885), (55.7157369, 12.6113569)]"
walk,51.0,3.8,"[(55.7159645, 12.6037297), (55.698089, 12.597691)]"
walk,28.0,2.1,"[(55.7078403, 12.5911685), (55.7113334, 12.6110577)]"
walk,17.0,1.3,"[(55.7107429, 12.6059976), (55.711852, 12.5932)]"
walk,4.0,0.321,"[(55.7109262, 12.6050831), (55.7118935, 12.600259)]"
walk,29.0,2.1,"[(55.7159645, 12.6037297), (55.709062, 12.585804)]"
walk,14.0,0.987,"[(55.711597, 12.591702), (55.708683, 12.584596)]"
walk,16.0,1.2,"[(55.7088446, 12.601899), (55.7042097, 12.5918875)]"
walk,14.0,1.1,"[(55.7100323, 12.6095416), (55.713852, 12.6059814)]"
walk,15.0,1.1,"[(55.709295, 12.600466), (55.7042097, 12.5918875)]"
walk,34.0,2.6,"[(55.707569, 12.599947), (55.7157369, 12.6113569)]"
