latitude, longitude, name, train_line
55.7068195,13.1866379,n/a,"Tåg 80: Stockholm => København"
55.706821,13.186695,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
55.6630433,12.3987789,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6484898,12.2689022,n/a,"Regionaltog 56: Kalundborg => København"
55.6488194,12.2687707,n/a,"Regionaltog 56: København => Kalundborg"
55.6597791,12.4989647,F,"S-tog F: Hellerup => København Syd"
55.6780431,12.5037367,C,"S-tog C: Klampenborg => Frederikssund"
55.6673826,12.5039955,C,"S-tog C: Frederikssund => Klampenborg"
55.6780219,12.5035447,C,"S-tog C: Frederikssund => Klampenborg"
55.753579,12.5414175,A,"S-tog A: Hillerød => Køge"
55.6297306,12.6015866,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6284054,12.5802197,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6298669,12.6015754,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6283659,12.5802166,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.6295771,12.6494172,n/a,"Regionaltog 50: CPH Lufthavn => København S => Høje Taastrup => Slagelse"
55.6295397,12.6494168,n/a,"Regionaltog 50: Slagelse => Høje Taastrup => København S => CPH Lufthavn"
55.6766343,12.562427,A,"S-tog A: Hillerød => Solrød Strand"
55.6766063,12.5626027,A,"S-tog A: Solrød Strand => Hillerød"
55.7536102,12.5414546,A,"S-tog A: Køge => Hillerød"
55.6529452,12.5147997,n/a,"Regionaltog 54: Rødby Færge => Køge Nord => København"
55.6651428,12.5595262,A,"S-tog A: Hillerød => Solrød Strand"
56.8988713,14.5571662,n/a,"Tog 80: København => Stockholm"
59.1632119,17.6475191,n/a,"Tog 80: København => Stockholm"
55.9914118,11.9714264,n/a,"Lokaltog 920R: Hundested => Hillerød"
55.2314334,11.7672903,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.2314985,11.7675021,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.8076771,12.4686238,A,"S-tog A: Solrød Strand => Hillerød"
55.8626954,9.835563,n/a,"InterCity 1: København => Aalborg"
55.4798887,12.175754,A,"S-tog A: Køge => Hillerød"
55.4802863,12.1752682,n/a,"Regionaltog 51: Næstved => Roskilde"
55.3138535,10.8034028,n/a,"InterCity 4: København Østerport => Esbjerg"
55.5016901,9.7344642,n/a,"InterCity 1: København => Aalborg"
55.8527277,12.5624824,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.8824261,12.5314535,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.933461,12.5061623,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.9637549,12.5330335,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
56.0092723,12.5832147,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.6930296,12.5889947,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.0695345,9.3327028,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.2484672,9.3048407,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.2484729,9.3050311,n/a,"InterCityLyn 5: Sønderborg => Københavns Lufthavn"
56.8920437,9.844002,n/a,"InterCity 1: København => Aalborg"
57.6516499,14.694734,n/a,"Tåg 80: Stockholm => København"
57.6523159,14.6937886,n/a,"Tog 80: København => Stockholm"
56.1326054,8.978327,n/a,"InterCityLyn 3: Struer => Herning => København"
57.4885172,12.0797565,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
54.7669198,11.8777487,n/a,"Regionaltog 54: Rødby Færge => Køge Nord => København"
55.5933104,13.0011166,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.5015296,9.7344198,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
55.613369,12.3579239,A,"S-tog A: Solrød Strand => Hillerød"
55.6383636,12.0879863,n/a,"Regionaltog 56: Kalundborg => København"
55.6480126,12.1319063,n/a,"Regionaltog 56: København => Kalundborg"
